Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Min,Fwd IAT Total,Fwd IAT Min,Bwd IAT Total,Fwd PSH Flags,Fwd Header Length,Bwd Packets/s,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,Down/Up Ratio,Fwd Bytes/Bulk Avg,Bwd Bytes/Bulk Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Active Mean,Idle Std,Clase_ID,Nombre_Ataque,Chunk_ID
68,67,17,8322388.0,2,0,684.0,0.0,342.0,342.0,0.0,0.0,82.18795,0.24031565,0.0,0.0,0.0,0.0,0.0,0,16.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,684.0,0,0.0,0.0,2,0.0,0.0,12,Spoofing - DNS Spoofing,1
57621,57621,17,120084260.0,5,0,430.0,0.0,86.0,86.0,0.0,0.0,3.5808191,0.04163743,30021064.0,30004148.0,120084260.0,30004148.0,0.0,0,40.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,430.0,0,0.0,0.0,5,0.0,14132367.0,12,Spoofing - DNS Spoofing,1
5353,5353,17,0.0,1,0,405.0,0.0,405.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1,405.0,0,0.0,0.0,1,0.0,0.0,12,Spoofing - DNS Spoofing,1
5353,5353,17,0.0,1,0,405.0,0.0,405.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1,405.0,0,0.0,0.0,1,0.0,0.0,12,Spoofing - DNS Spoofing,1
68,67,17,43271836.0,8,0,2736.0,0.0,342.0,342.0,0.0,0.0,63.228195,0.18487777,6181690.5,1933225.0,43271836.0,1933225.0,0.0,0,64.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,8,2736.0,0,0.0,0.0,8,0.0,928650.44,11,Spoofing - ARP Spoofing,1
68,67,17,8383823.0,2,0,684.0,0.0,342.0,342.0,0.0,0.0,81.58569,0.23855466,0.0,0.0,0.0,0.0,0.0,0,16.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,684.0,0,0.0,0.0,2,0.0,0.0,12,Spoofing - DNS Spoofing,1
57621,57621,17,120046200.0,5,0,430.0,0.0,86.0,86.0,0.0,0.0,3.5819545,0.04165063,30011550.0,30000668.0,120046200.0,30000668.0,0.0,0,40.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,430.0,0,0.0,0.0,5,0.0,14133287.0,12,Spoofing - DNS Spoofing,1
68,67,17,58101144.0,10,0,3420.0,0.0,342.0,342.0,0.0,0.0,58.86287,0.17211364,6455683.0,1199730.0,58101144.0,1199730.0,0.0,0,80.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,10,3420.0,0,0.0,0.0,10,0.0,1188453.1,0,Benign,1
57621,57621,17,120097176.0,5,0,430.0,0.0,86.0,86.0,0.0,0.0,3.5804338,0.041632954,30024294.0,30014422.0,120097176.0,30014422.0,0.0,0,40.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,430.0,0,0.0,0.0,5,0.0,14997708.0,12,Spoofing - DNS Spoofing,1
68,67,17,59007532.0,10,0,3420.0,0.0,342.0,342.0,0.0,0.0,57.958702,0.1694699,6556392.5,1407666.0,59007532.0,1407666.0,0.0,0,80.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,10,3420.0,0,0.0,0.0,10,0.0,1282871.1,0,Benign,1
